Date/Time,Event,Session ID,Temp,Humidity,Methane - 12 bit ADC,
"March 11, 2021 at 08:17PM",ece477,102106,73.34583F,81.90%,714,
"March 11, 2021 at 08:17PM",ece477,102107,73.31381F,81.85%,714,
"March 11, 2021 at 08:17PM",ece477,102108,73.37784F,81.82%,714,
"March 11, 2021 at 08:17PM",ece477,102109,73.34583F,82.04%,710,
"March 11, 2021 at 08:17PM",ece477,102110,73.31381F,82.02%,707,
"March 11, 2021 at 08:17PM",ece477,102111,73.34583F,81.86%,720,
"March 11, 2021 at 08:17PM",ece477,102112,73.31381F,81.89%,708,
"March 11, 2021 at 08:18PM",ece477,102113,73.34583F,82.03%,714,
"March 11, 2021 at 08:18PM",ece477,102114,73.37784F,81.77%,711,
"March 11, 2021 at 08:18PM",ece477,102115,73.31381F,81.91%,714,
"March 11, 2021 at 08:18PM",ece477,102116,73.37784F,81.90%,716,
"March 11, 2021 at 08:18PM",ece477,102117,73.31381F,81.87%,720,
"March 11, 2021 at 08:18PM",ece477,102118,73.31381F,81.89%,715,
"March 11, 2021 at 08:18PM",ece477,102119,73.34583F,81.94%,710,
"March 11, 2021 at 08:18PM",ece477,102120,73.31381F,81.82%,710,
"March 11, 2021 at 08:18PM",ece477,102121,73.34583F,81.92%,720,
"March 11, 2021 at 08:18PM",ece477,102122,73.31381F,82.02%,717,
"March 11, 2021 at 08:19PM",ece477,102123,73.31381F,81.94%,702,
"March 11, 2021 at 08:19PM",ece477,102124,73.34583F,81.91%,714,
"March 11, 2021 at 08:19PM",ece477,102125,73.24979F,81.83%,711,
"March 11, 2021 at 08:19PM",ece477,102126,73.31381F,81.87%,716,
"March 11, 2021 at 08:19PM",ece477,102127,73.28181F,82.00%,710,
"March 11, 2021 at 08:19PM",ece477,102128,73.31381F,81.94%,717,
"March 11, 2021 at 08:19PM",ece477,102129,73.28181F,81.95%,714,
"March 11, 2021 at 08:19PM",ece477,102130,73.31381F,81.90%,720,
"March 11, 2021 at 08:19PM",ece477,102131,73.34583F,81.94%,715,
"March 11, 2021 at 08:19PM",ece477,102132,73.28181F,81.99%,718,
"March 11, 2021 at 08:20PM",ece477,102133,73.28181F,81.97%,707,
"March 11, 2021 at 08:20PM",ece477,102134,73.31381F,82.00%,717,
"March 11, 2021 at 08:20PM",ece477,102135,73.28181F,81.99%,717,
"March 11, 2021 at 08:20PM",ece477,102136,73.24979F,81.99%,694,
"March 11, 2021 at 08:20PM",ece477,102137,73.28181F,81.93%,714,
"March 11, 2021 at 08:20PM",ece477,102138,73.31381F,82.00%,715,
"March 11, 2021 at 08:20PM",ece477,102139,73.21779F,82.10%,714,
"March 11, 2021 at 08:20PM",ece477,102140,73.34583F,81.96%,716,
"March 11, 2021 at 08:20PM",ece477,102141,73.28181F,81.94%,716,
"March 11, 2021 at 08:20PM",ece477,102142,73.28181F,81.99%,710,
"March 11, 2021 at 08:21PM",ece477,102143,73.24979F,81.97%,714,
"March 11, 2021 at 08:21PM",ece477,102144,73.28181F,82.06%,719,
"March 11, 2021 at 08:21PM",ece477,102145,73.28181F,82.01%,714,
"March 11, 2021 at 08:21PM",ece477,102146,73.31381F,81.98%,713,
"March 11, 2021 at 08:21PM",ece477,102147,73.24979F,81.96%,715,
"March 11, 2021 at 08:21PM",ece477,102148,73.28181F,81.92%,719,
"March 11, 2021 at 08:21PM",ece477,102149,73.28181F,82.03%,711,
"March 11, 2021 at 08:21PM",ece477,102150,73.31381F,82.09%,709,
"March 11, 2021 at 08:21PM",ece477,102151,73.31381F,81.96%,711,
"March 11, 2021 at 08:21PM",ece477,102152,73.28181F,81.92%,715,
"March 11, 2021 at 08:22PM",ece477,102153,73.28181F,82.07%,717,
"March 11, 2021 at 08:22PM",ece477,102154,73.31381F,82.06%,715,
"March 11, 2021 at 08:22PM",ece477,102155,73.24979F,82.17%,711,
"March 11, 2021 at 08:22PM",ece477,102156,73.24979F,82.04%,711,
"March 11, 2021 at 08:22PM",ece477,102157,73.24979F,82.05%,718,
"March 11, 2021 at 08:22PM",ece477,102158,73.24979F,82.24%,714,
"March 11, 2021 at 08:22PM",ece477,102159,73.28181F,82.02%,717,
"March 11, 2021 at 08:22PM",ece477,102160,73.21779F,82.01%,715,
"March 11, 2021 at 08:22PM",ece477,102161,73.24979F,82.05%,716,
"March 11, 2021 at 08:22PM",ece477,102162,73.24979F,82.08%,720,
"March 11, 2021 at 08:23PM",ece477,102163,73.28181F,82.16%,718,
"March 11, 2021 at 08:23PM",ece477,102164,73.31381F,82.09%,716,
"March 11, 2021 at 08:23PM",ece477,102165,73.21779F,82.05%,716,
"March 11, 2021 at 08:23PM",ece477,102166,73.31381F,82.16%,714,
"March 11, 2021 at 08:23PM",ece477,102167,73.28181F,82.08%,714,
"March 11, 2021 at 08:23PM",ece477,102168,73.28181F,82.13%,715,
"March 11, 2021 at 08:23PM",ece477,102169,73.28181F,82.10%,720,
"March 11, 2021 at 08:23PM",ece477,102170,73.28181F,82.00%,717,
"March 11, 2021 at 08:23PM",ece477,102171,73.31381F,82.08%,708,
"March 11, 2021 at 08:23PM",ece477,102172,73.24979F,82.04%,718,
"March 11, 2021 at 08:24PM",ece477,102173,73.24979F,82.23%,714,
"March 11, 2021 at 08:24PM",ece477,102174,73.15376F,82.12%,718,
"March 11, 2021 at 08:24PM",ece477,102175,73.21779F,82.11%,714,
"March 11, 2021 at 08:24PM",ece477,102176,73.28181F,82.17%,714,
"March 11, 2021 at 08:24PM",ece477,102177,73.24979F,82.06%,708,
"March 11, 2021 at 08:24PM",ece477,102178,73.24979F,82.12%,708,
"March 11, 2021 at 08:24PM",ece477,102179,73.28181F,82.14%,718,
"March 11, 2021 at 08:24PM",ece477,102180,73.28181F,82.15%,717,
"March 11, 2021 at 08:24PM",ece477,102181,73.24979F,82.07%,719,
"March 11, 2021 at 08:24PM",ece477,102182,73.31381F,82.27%,720,
"March 11, 2021 at 08:25PM",ece477,102183,73.24979F,82.25%,717,
"March 11, 2021 at 08:25PM",ece477,102184,73.24979F,82.10%,709,
