"April 17, 2021 at 09:14PM",ece477,100310,67.90397F,47.87%,236
"April 17, 2021 at 09:44PM",ece477,100311,67.7119F,47.67%,237
"April 17, 2021 at 10:14PM",ece477,100312,67.7119F,47.79%,235
"April 17, 2021 at 10:44PM",ece477,100313,67.80794F,47.99%,237
"April 17, 2021 at 11:14PM",ece477,100314,67.74391F,47.92%,230
"April 17, 2021 at 11:44PM",ece477,100315,67.7119F,48.36%,235
"April 18, 2021 at 12:14AM",ece477,100316,67.58386F,47.89%,229
"April 18, 2021 at 12:44AM",ece477,100317,67.29576F,48.09%,225
"April 18, 2021 at 01:14AM",ece477,100318,67.16772F,48.40%,225
"April 18, 2021 at 01:44AM",ece477,100319,66.87962F,48.55%,217
"April 18, 2021 at 02:14AM",ece477,100320,66.68756F,48.75%,212
"April 18, 2021 at 02:44AM",ece477,100321,66.49549F,48.77%,222
"April 18, 2021 at 03:14AM",ece477,100322,66.30342F,49.24%,215
"April 18, 2021 at 03:44AM",ece477,100323,66.20739F,49.21%,222
"April 18, 2021 at 04:14AM",ece477,100324,65.91929F,49.51%,219
"April 18, 2021 at 04:44AM",ece477,100325,65.75923F,49.07%,218
"April 18, 2021 at 05:14AM",ece477,100326,65.6632F,48.86%,210
"April 18, 2021 at 05:44AM",ece477,100327,65.3751F,48.98%,214
"April 18, 2021 at 06:14AM",ece477,100328,65.21505F,48.96%,212
"April 18, 2021 at 06:44AM",ece477,100329,65.18304F,48.87%,213
"April 18, 2021 at 07:14AM",ece477,100330,65.21505F,48.99%,214
"April 18, 2021 at 07:44AM",ece477,100331,65.31108F,48.68%,214
"April 18, 2021 at 08:14AM",ece477,100332,65.75923F,48.93%,230
"April 18, 2021 at 08:44AM",ece477,100333,66.43147F,48.76%,240
"April 18, 2021 at 09:14AM",ece477,100334,66.97565F,48.70%,249
"April 18, 2021 at 09:44AM",ece477,100335,67.55185F,49.12%,255
"April 18, 2021 at 10:14AM",ece477,100336,68.03201F,49.00%,257
"April 18, 2021 at 10:44AM",ece477,100337,68.54419F,48.40%,256
"April 18, 2021 at 11:14AM",ece477,100338,68.96033F,48.28%,253
"April 18, 2021 at 11:44AM",ece477,100339,69.37647F,47.00%,238
"April 18, 2021 at 11:58AM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 11:58AM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:02PM",ece477,1,5000F,5`00%,50000
"April 18, 2021 at 12:03PM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:05PM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:06PM",ece477,1%7C%7�%7C5000F,u000%,50000,
"April 18, 2021 at 12:08PM",ece477,1%7�%7C%7C5000F,5000%,50000,
"April 18, 2021 at 12:09PM",ece477,1I7C||5000F,5000%,50000,
"April 18, 2021 at 12:09PM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:11PM",ece477,1,5000F,,50000
"April 18, 2021 at 12:12PM",ece477,1,50p0F,5000%,50000
"April 18, 2021 at 12:14PM",ece477,100340,70.30479F,48.55%,244
"April 18, 2021 at 12:44PM",ece477,100341,71.07305F,47.98%,243
"April 18, 2021 at 01:14PM",ece477,100342,71.42517F,48.34%,225
